id,name,code,created_at,updated_at
94,18FNSB,18FNSB,2021-10-14 03:28:27.945009,2021-10-14 03:28:27.945009
95,18NW10,18NW10,2021-10-14 03:28:38.205563,2021-10-14 03:28:38.205563
96,15NOME,15NOME,2021-10-14 03:28:38.274302,2021-10-14 03:28:38.274302
97,19NOME,19NOME,2021-10-14 03:28:38.407111,2021-10-14 03:28:38.407111
98,16UNAK,16UNAK,2021-10-14 03:28:41.478297,2021-10-14 03:28:41.478297
99,15UNAL,15UNAL,2021-10-14 03:28:41.490926,2021-10-14 03:28:41.490926
100,18KEPB,18KEPB,2021-10-14 03:28:58.374547,2021-10-14 03:28:58.374547
101,15NWAR,15NWAR,2021-10-14 03:29:17.763673,2021-10-14 03:29:17.763673
102,15NWAB,15NWAB,2021-10-14 03:29:17.799984,2021-10-14 03:29:17.799984
103,20RE17,20RE17,2021-10-14 03:29:20.641181,2021-10-14 03:29:20.641181
104,15KEPB,15KEPB,2021-10-14 03:29:21.871613,2021-10-14 03:29:21.871613
105,18VALD,18VALD,2021-10-14 03:29:42.904755,2021-10-14 03:29:42.904755
106,18FBX,18FBX,2021-10-14 03:29:52.704341,2021-10-14 03:29:52.704341
107,16KTNB,16KTNB,2021-10-14 03:30:13.261178,2021-10-14 03:30:13.261178
108,17SOLD,17SOLD,2021-10-14 03:30:19.347477,2021-10-14 03:30:19.347477
109,16SOLS,16SOLS,2021-10-14 03:30:19.376302,2021-10-14 03:30:19.376302
110,16SOLD,16SOLD,2021-10-14 03:30:19.959985,2021-10-14 03:30:19.959985
111,18RE17,18RE17,2021-10-14 03:31:08.089546,2021-10-14 03:31:08.089546
112,16RE17,16RE17,2021-10-14 03:31:08.119272,2021-10-14 03:31:08.119272
113,18NSLO,18NSLO,2021-10-14 03:31:09.693107,2021-10-14 03:31:09.693107
114,16KOIB,16KOIB,2021-10-14 03:32:01.462638,2021-10-14 03:32:01.462638
115,17NWAB,17NWAB,2021-10-14 03:32:23.334094,2021-10-14 03:32:23.334094
116,16KOTZ,16KOTZ,2021-10-14 03:32:23.356991,2021-10-14 03:32:23.356991
117,20KEPB,20KEPB,2021-10-14 03:32:30.592892,2021-10-14 03:32:30.592892
118,20SOLD,20SOLD,2021-10-14 03:32:30.618218,2021-10-14 03:32:30.618218
119,19KEPB,19KEPB,2021-10-14 03:32:30.643534,2021-10-14 03:32:30.643534
120,19SOLD,19SOLD,2021-10-14 03:32:30.657613,2021-10-14 03:32:30.657613
121,16NSLO,16NSLO,2021-10-14 03:32:52.94494,2021-10-14 03:32:52.94494
122,16NW10,16NW10,2021-10-14 03:32:52.961001,2021-10-14 03:32:52.961001
123,17HOON,17HOON,2021-10-14 03:33:31.543468,2021-10-14 03:33:31.543468
124,17HOOS,17HOOS,2021-10-14 03:33:31.561675,2021-10-14 03:33:31.561675
125,20HOON,20HOON,2021-10-14 03:33:33.473092,2021-10-14 03:33:33.473092
126,19HOON,19HOON,2021-10-14 03:33:33.502318,2021-10-14 03:33:33.502318
127,18HOON,18HOON,2021-10-14 03:33:33.532219,2021-10-14 03:33:33.532219
128,16HONS,16HONS,2021-10-14 03:33:33.61696,2021-10-14 03:33:33.61696
129,16HOON,16HOON,2021-10-14 03:33:33.814703,2021-10-14 03:33:33.814703
130,13SPEL,13SPEL,2021-10-14 03:34:27.134963,2021-10-14 03:34:27.134963
131,20REAA,20REAA,2021-10-14 03:35:38.907154,2021-10-14 03:35:38.907154
132,M,M,2021-10-14 03:36:32.823863,2021-10-14 03:36:32.823863
133,15BIGI,15BIGI,2021-10-14 18:24:13.451007,2021-10-14 18:24:13.451007
134,17HOMS,17HOMS,2021-10-14 18:24:16.688211,2021-10-14 18:24:16.688211
135,16HOME,16HOME,2021-10-14 18:24:16.733914,2021-10-14 18:24:16.733914
136,15KOTZ,15KOTZ,2021-10-14 18:24:17.889613,2021-10-14 18:24:17.889613
137,20NSBR,20NSBR,2021-10-14 18:24:44.456986,2021-10-14 18:24:44.456986
138,20NSLO,20NSLO,2021-10-14 18:24:44.480257,2021-10-14 18:24:44.480257
139,20NW10,20NW10,2021-10-14 18:24:44.493731,2021-10-14 18:24:44.493731
140,20JUN,20JUN,2021-10-14 18:24:53.152572,2021-10-14 18:24:53.152572
141,18HANS,18HANS,2021-10-14 18:26:15.408068,2021-10-14 18:26:15.408068
142,17HANS,17HANS,2021-10-14 18:26:15.429424,2021-10-14 18:26:15.429424
143,16HANS,16HANS,2021-10-14 18:26:15.452997,2021-10-14 18:26:15.452997
144,18KOIB,18KOIB,2021-10-14 18:27:10.783869,2021-10-14 18:27:10.783869
145,17KOIB,17KOIB,2021-10-14 18:27:10.82231,2021-10-14 18:27:10.82231
146,17OUZI,17OUZI,2021-10-14 18:28:01.769887,2021-10-14 18:28:01.769887
147,16OUZI,16OUZI,2021-10-14 18:28:01.810606,2021-10-14 18:28:01.810606
